"","species","latitude","longitude"
"1","Callitriche cophocarpa Sendtner",58.380363,14.844067
"2","Callitriche cophocarpa Sendtner",58.5997089,13.549289
"3","Callitriche cophocarpa Sendtner",58.760007,15.1008689
"4","Callitriche cophocarpa Sendtner",55.93195,13.13141
"5","Callitriche cophocarpa Sendtner",58.6607199,13.495364
"6","Callitriche cophocarpa Sendtner",57.0331917507003,14.2899623340213
"7","Callitriche cophocarpa Sendtner",57.751742,11.942581
"8","Callitriche cophocarpa Sendtner",58.427908,16.0244709
"9","Callitriche cophocarpa Sendtner",55.93195,13.13141
"10","Callitriche cophocarpa Sendtner",60.5568689,17.278493
"11","Callitriche cophocarpa Sendtner",55.675843,13.4140479
"12","Callitriche cophocarpa Sendtner",58.88958,16.436178
"13","Callitriche cophocarpa Sendtner",56.122582,12.69439
"14","Callitriche cophocarpa Sendtner",56.939073,16.1526789
"15","Callitriche cophocarpa Sendtner",56.876426,16.345628
"16","Callitriche cophocarpa Sendtner",57.366922,15.930687
"17","Callitriche cophocarpa Sendtner",57.0003049,16.355644
"18","Callitriche cophocarpa Sendtner",57.1702829,15.913494
"19","Callitriche cophocarpa Sendtner",57.255631,16.4787399
"20","Callitriche cophocarpa Sendtner",58.792757,16.1480619
"21","Callitriche cophocarpa Sendtner",62.2565379,17.0368819
"22","Callitriche cophocarpa Sendtner",62.835622,17.9632779
"23","Callitriche cophocarpa Sendtner",63.124107,17.3578049
"24","Callitriche cophocarpa Sendtner",63.9189849,19.138158
"25","Callitriche cophocarpa Sendtner",63.3504519,18.789648
"26","Callitriche cophocarpa Sendtner",63.002867,17.521532
"27","Callitriche cophocarpa Sendtner",63.653106,18.555951
"28","Callitriche cophocarpa Sendtner",63.157034,17.36651
"29","Callitriche cophocarpa Sendtner",63.007679,17.4797599
"30","Callitriche cophocarpa Sendtner",63.006647,17.7756739
"31","Callitriche cophocarpa Sendtner",63.170717,16.912797
"32","Callitriche cophocarpa Sendtner",62.6360889,17.812469
"33","Callitriche cophocarpa Sendtner",63.3317339,18.704802
"34","Callitriche cophocarpa Sendtner",63.4966099,19.327586
"35","Callitriche cophocarpa Sendtner",57.751742,11.942581
"36","Callitriche cophocarpa Sendtner",63.368594,18.715519
"37","Callitriche cophocarpa Sendtner",59.8096499,17.666933
"38","Callitriche cophocarpa Sendtner",62.5474469,17.828657
"39","Callitriche cophocarpa Sendtner",63.304575,18.911441
"40","Callitriche cophocarpa Sendtner",63.0679749,17.766952
"41","Callitriche cophocarpa Sendtner",63.595882,16.2245349
"42","Callitriche cophocarpa Sendtner",64.4855869,15.4629169
"43","Callitriche cophocarpa Sendtner",63.0392969,17.7836059
